case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-001,PC1 cannot reach Server1 in VLAN 30.,"PC1 -> Switch -> Router R1 -> Server1 (VLAN 10 and VLAN 30, Router-on-a-stick)","Router# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  192.168.10.1    YES manual up                    up
GigabitEthernet0/0.30  192.168.30.1    YES manual administratively down down",Interface GigabitEthernet0/0.30 is administratively down,Layer 1/2,VLAN,HIGH
NET-002,Host A reports IP conflict error and cannot access the network.,Host A (192.168.1.10) and Host B are on the same VLAN.,"Switch# show ip arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.1.10            0   0000.1111.2222  ARPA   Vlan1
Internet  192.168.1.10            0   0000.3333.4444  ARPA   Vlan1
%IP-4-DUPADDR: Duplicate address 192.168.1.10 on Vlan1, sourced by 0000.3333.4444",Duplicate IP address detected for 192.168.1.10,Layer 3,DHCP,HIGH
NET-003,Users in subnet 192.168.2.0/24 can only reach half of the expected IPs in their subnet.,Host subnet is meant to be a /24.,"Router# show run interface G0/1
interface GigabitEthernet0/1
 ip address 192.168.2.1 255.255.255.128",Wrong subnet mask on gateway interface (255.255.255.128 instead of 255.255.255.0),Layer 3,IP,MEDIUM
NET-004,PC1 can ping other PCs in its subnet but cannot reach the internet.,PC1 IP: 10.0.0.50. Router Gateway IP: 10.0.0.1.,"PC1> ipconfig
IPv4 Address. . . . . . . . . . . : 10.0.0.50
Subnet Mask . . . . . . . . . . . : 255.255.255.0
Default Gateway . . . . . . . . . : 10.0.0.254",Gateway mismatch on client device,Layer 3,Gateway,HIGH
NET-005,"Switch port status shows up, but traffic for VLAN 20 is dropped.",PC connected to Fa0/5 on Switch.,"Switch# show vlan brief
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   USERS                            active    
Switch# show run interface Fa0/5
interface FastEthernet0/5
 switchport access vlan 20
 switchport mode access",Missing VLAN 20 in the VLAN database,Layer 2,VLAN,MEDIUM
NET-006,Branch router cannot reach Headquarters subnet 10.10.10.0/24.,Branch router connected to ISP.,"Branch# show ip route
Gateway of last resort is not set
      192.168.1.0/24 is variably subnetted, 2 subnets, 2 masks
C        192.168.1.0/24 is directly connected, GigabitEthernet0/0
L        192.168.1.1/32 is directly connected, GigabitEthernet0/0",Missing route to 10.10.10.0/24,Layer 3,Routing,HIGH
NET-007,CDP reports Native VLAN mismatch between Switch A and Switch B.,Trunk link between Switch A and B on Gi0/1.,"SwitchA# show cdp neighbors gi0/1 detail
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with SwitchB GigabitEthernet0/1 (99).",Mismatched Native VLAN IDs (1 vs 99),Layer 2,VLAN,MEDIUM
NET-008,Web server 192.168.1.100 cannot be reached on port 80 from the outside.,Router ACL applied inbound on WAN interface.,"Router# show access-lists
Extended IP access list 101
    10 deny tcp any host 192.168.1.100 eq www (15 matches)
    20 permit ip any any",ACL deny statement blocking HTTP traffic to web server,Layer 4,ACL,HIGH
NET-009,Internal clients cannot access the internet. Ping to 8.8.8.8 fails.,Router configured for PAT (NAT Overload).,"Router# show run | inc ip nat
ip nat inside source list 1 interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip nat outside
interface GigabitEthernet0/1
 ! Missing ip nat inside",NAT configuration problem: missing 'ip nat inside' on LAN interface,Layer 3,NAT,HIGH
NET-010,Clients on VLAN 10 do not receive IP addresses.,DHCP server is at 10.0.0.10. Router acting as relay.,"Router# show run interface GigabitEthernet0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
 ! Missing ip helper-address",DHCP configuration problem: missing ip helper-address,Layer 7,DHCP,HIGH
